date,max,min
2014.01.01   ,5,-1
2014.01.02   ,4,0
2014.01.03   ,8,2
2014.01.04   ,8,4
2014.01.05   ,11,5
2014.01.06   ,9,3
2014.01.07   ,9,4
2014.01.08   ,9,3
2014.01.09   ,9,2
2014.01.10   ,9,2
2014.01.11   ,8,4
2014.01.12   ,7,0
2014.01.13   ,7,1
2014.01.14   ,6,1
2014.01.15   ,6,0
2014.01.16   ,7,0
2014.01.17   ,10,5
2014.01.18   ,9,6
2014.01.19   ,10,6
2014.01.20   ,10,6
2014.01.21   ,9,4
2014.01.22   ,6,0
2014.01.23   ,4,-1
2014.01.24   ,1,-1
2014.01.25   ,0,-6
2014.01.26   ,-4,-8
2014.01.27   ,-4,-9
2014.01.28   ,-1,-4
2014.01.29   ,-2,-6
2014.01.30   ,0,-4
2014.01.31   ,-1,-4
2014.02.01   ,-1,-4
2014.02.02   ,2,-3
2014.02.03   ,2,-3
2014.02.04   ,0,-5
2014.02.05   ,0,-3
2014.02.06   ,3,-1
2014.02.07   ,4,1
2014.02.08   ,7,2
2014.02.09   ,7,2
2014.02.10   ,7,4
2014.02.11   ,8,3
2014.02.12   ,11,2
2014.02.13   ,7,2
2014.02.14   ,6,2
2014.02.15   ,7,2
2014.02.16   ,10,5
2014.02.17   ,9,2
2014.02.18   ,10,4
2014.02.19   ,11,4
2014.02.20   ,12,4
2014.02.21   ,9,6
2014.02.22   ,9,4
2014.02.23   ,12,3
2014.02.24   ,10,3
2014.02.25   ,11,4
2014.02.26   ,12,4
2014.02.27   ,13,5
2014.02.28   ,10,3
2014.03.01   ,11,3
2014.03.02   ,13,4
2014.03.03   ,11,6
2014.03.04   ,13,5
2014.03.05   ,14,7
2014.03.06   ,14,5
2014.03.07   ,13,6
2014.03.08   ,15,5
2014.03.09   ,13,4
2014.03.10   ,12,4
2014.03.11   ,18,7
2014.03.12   ,17,6
2014.03.13   ,20,8
2014.03.14   ,19,9
2014.03.15   ,17,5
2014.03.16   ,14,8
2014.03.17   ,14,6
2014.03.18   ,18,11
2014.03.19   ,15,7
2014.03.20   ,20,8
2014.03.21   ,19,9
2014.03.22   ,20,10
2014.03.23   ,20,10
2014.03.24   ,10,3
2014.03.25   ,13,4
2014.03.26   ,15,5
2014.03.27   ,17,6
2014.03.28   ,20,8
2014.03.29   ,20,6
2014.03.30   ,22,7
2014.03.31   ,22,9
2014.04.01   ,21,8
2014.04.02   ,20,8
2014.04.03   ,21,9
2014.04.04   ,24,13
2014.04.05   ,21,10
2014.04.06   ,21,11
2014.04.07   ,24,11
2014.04.08   ,23,11
2014.04.09   ,15,5
2014.04.10   ,13,4
2014.04.11   ,17,5
2014.04.12   ,19,7
2014.04.13   ,19,7
2014.04.14   ,19,3
2014.04.15   ,13,2
2014.04.16   ,14,3
2014.04.17   ,15,6
2014.04.18   ,22,10
2014.04.19   ,21,8
2014.04.20   ,17,8
2014.04.21   ,22,10
2014.04.22   ,23,11
2014.04.23   ,26,13
2014.04.24   ,25,12
2014.04.25   ,23,13
2014.04.26   ,23,9
2014.04.27   ,23,9
2014.04.28   ,26,12
2014.04.29   ,25,11
2014.04.30   ,25,11
2014.05.01   ,27,11
2014.05.02   ,26,11
2014.05.03   ,24,8
2014.05.04   ,17,5
2014.05.05   ,19,6
2014.05.06   ,20,8
2014.05.07   ,24,12
2014.05.08   ,23,10
2014.05.09   ,26,13
2014.05.10   ,23,12
2014.05.11   ,25,9
2014.05.12   ,19,8
2014.05.13   ,17,8
2014.05.14   ,15,6
2014.05.15   ,12,9
2014.05.16   ,18,7
2014.05.17   ,20,9
2014.05.18   ,18,9
2014.05.19   ,24,12
2014.05.20   ,27,13
2014.05.21   ,29,16
2014.05.22   ,29,17
2014.05.23   ,30,16
2014.05.24   ,31,15
2014.05.25   ,32,16
2014.05.26   ,29,15
2014.05.27   ,28,13
2014.05.28   ,23,11
2014.05.29     ,22,11
2014.05.30   ,16,6
2014.05.31   ,21,12
2014.06.01   ,24,11
2014.06.02   ,22,8
2014.06.03   ,25,10
2014.06.04   ,26,11
2014.06.05   ,29,15
2014.06.06   ,30,14
2014.06.07   ,32,16
2014.06.08   ,34,17
2014.06.09   ,36,19
2014.06.10   ,37,18
2014.06.11   ,36,16
2014.06.12   ,34,17
2014.06.13   ,28,13
2014.06.14   ,26,11
2014.06.15   ,30,11
2014.06.16   ,27,13
2014.06.17   ,28,13
2014.06.18   ,29,12
2014.06.19   ,29,14
2014.06.20   ,24,10
2014.06.21   ,25,10
2014.06.22   ,27,12
2014.06.23   ,29,14
2014.06.24   ,29,14
2014.06.25   ,20,10
2014.06.26   ,27,10
2014.06.27   ,30,13
2014.06.28   ,29,15
2014.06.29   ,32,15
2014.06.30   ,22,11
2014.07.01   ,27,12
2014.07.02   ,30,15
2014.07.03   ,28,13
2014.07.04   ,31,14
2014.07.05   ,32,17
2014.07.06   ,34,19
2014.07.07   ,36,20
2014.07.08   ,33,16
2014.07.09   ,27,12
2014.07.10   ,30,15
2014.07.11   ,26,15
2014.07.12   ,29,15
2014.07.13   ,29,15
2014.07.14   ,32,18
2014.07.15   ,34,18
2014.07.16   ,33,18
2014.07.17   ,34,18
2014.07.18   ,32,19
2014.07.19   ,36,19
2014.07.20   ,35,20
2014.07.21   ,35,19
2014.07.22   ,27,18
2014.07.23   ,27,15
2014.07.24   ,30,17
2014.07.25   ,33,18
2014.07.26   ,33,18
2014.07.27   ,35,19
2014.07.28   ,30,18
2014.07.29   ,31,18
2014.07.30   ,33,20
2014.07.31   ,30,20
2014.08.01   ,35,19
2014.08.02   ,35,19
2014.08.03   ,34,20
2014.08.04   ,34,20
2014.08.05   ,31,18
2014.08.06   ,31,18
2014.08.07   ,30,18
2014.08.08   ,31,18
2014.08.09   ,32,19
2014.08.10   ,33,21
2014.08.11   ,33,17
2014.08.12   ,31,18
2014.08.13   ,34,15
2014.08.14   ,23,13
2014.08.15   ,29,13
2014.08.16   ,24,12
2014.08.17   ,26,13
2014.08.18   ,28,16
2014.08.19   ,28,16
2014.08.20   ,28,15
2014.08.21   ,23,11
2014.08.22   ,27,13
2014.08.23   ,27,14
2014.08.24   ,23,10
2014.08.25   ,24,13
2014.08.26   ,26,17
2014.08.27   ,23,11
2014.08.28   ,26,13
2014.08.29   ,27,13
2014.08.30   ,30,14
2014.08.31   ,29,16
2014.09.01   ,28,16
2014.09.02   ,25,16
2014.09.03   ,28,17
2014.09.04   ,29,17
2014.09.05   ,28,16
2014.09.06   ,28,17
2014.09.07   ,29,17
2014.09.08   ,29,17
2014.09.09   ,29,18
2014.09.10   ,22,15
2014.09.11   ,22,15
2014.09.12   ,20,14
2014.09.13   ,24,16
2014.09.14   ,21,15
2014.09.15   ,20,13
2014.09.16   ,24,13
2014.09.17   ,26,14
2014.09.18   ,25,13
2014.09.19   ,21,13
2014.09.20   ,27,16
2014.09.21   ,26,16
2014.09.22   ,18,8
2014.09.23   ,17,8
2014.09.24   ,18,8
2014.09.25   ,19,9
2014.09.26   ,20,10
2014.09.27   ,20,11
2014.09.28   ,25,13
2014.09.29   ,24,12
2014.09.30   ,24,12
2014.10.01   ,23,15
2014.10.02   ,23,12
2014.10.03   ,20,12
2014.10.04   ,20,12
2014.10.05   ,20,10
2014.10.06   ,19,10
2014.10.07   ,19,10
2014.10.08   ,17,11
2014.10.09   ,22,12
2014.10.10   ,25,14
2014.10.11   ,25,14
2014.10.12   ,26,15
2014.10.13   ,25,16
2014.10.14   ,25,13
2014.10.15   ,18,13
2014.10.16   ,22,14
2014.10.17   ,19,10
2014.10.18   ,21,13
2014.10.19   ,19,10
2014.10.20   ,22,14
2014.10.21   ,18,12
2014.10.22   ,9,5
2014.10.23   ,12,7
2014.10.24   ,10,6
2014.10.25   ,14,5
2014.10.26   ,13,4
2014.10.27   ,15,5
2014.10.28   ,16,3
2014.10.29   ,12,3
2014.10.30   ,12,6
2014.10.31   ,13,4
2014.11.01   ,14,5
2014.11.02   ,13,5
2014.11.03   ,12,5
2014.11.04   ,15,7
2014.11.05   ,16,8
2014.11.06   ,16,10
2014.11.07   ,17,11
2014.11.08   ,18,10
2014.11.09   ,17,9
2014.11.10   ,17,10
2014.11.11   ,16,8
2014.11.12   ,13,9
2014.11.13   ,15,8
2014.11.14   ,15,7
2014.11.15   ,13,6
2014.11.16   ,10,7
2014.11.17,10,7
2014.11.18,10,6
2014.11.19,10,4
2014.11.20 ,9,3
2014.11.21 ,9,2
2014.11.22 ,8,1
2014.11.23 ,8,1
2014.11.24 ,6,2
2014.11.25 ,6,1
2014.11.26 ,5,-1
2014.11.27cs?t?rt?k ,4,-5
2014.11.28p?ntek ,2,1
2014.11.29szombat ,2,1
2014.11.30vas?rnap ,3,0
2014.12.01h?tfo ,2,0
2014.12.02kedd ,2,1
2014.12.03szerda ,6,2
2014.12.04cs?t?rt?k ,7,1
2014.12.05p?ntek ,7,4
2014.12.06szombat ,8,4
2014.12.07vas?rnap ,6,3
2014.12.08h?tfo ,5,0
2014.12.09kedd ,4,-1
2014.12.10szerda ,4,0
2014.12.11cs?t?rt?k ,5,-5
2014.12.12p?ntek ,6,-4
2014.12.13szombat ,7,-2
2014.12.14vas?rnap ,8,4
2014.12.15h?tfo ,8,3
2014.12.16kedd ,7,2
2014.12.17szerda ,8,3
2014.12.18cs?t?rt?k ,9,-1
2014.12.19p?ntek ,11,5
2014.12.20szombat ,9,2
2014.12.21vas?rnap ,6,2
2014.12.22h?tfo ,9,4
2014.12.23kedd ,11,4
2014.12.24szerda ,10,3
2014.12.25cs?t?rt?k ,9,2
2014.12.26p?ntek ,4,-2
2014.12.27szombat ,2,-3
2014.12.28vas?rnap ,0,-5
2014.12.29h?tfo ,-2,-8
2014.12.30kedd ,-5,-10
2014.12.31szerda ,-4,-9
2015.01.01cs?t?rt?k ,-3,-13
2015.01.02p?ntek ,1,-7
2015.01.03szombat ,4,-1
2015.01.04vas?rnap ,3,-3
2015.01.05h?tfo ,3,-4
2015.01.06kedd ,3,-6
2015.01.07szerda ,-4,-7
